flow_id,size,source,target,fct
574,125,195,898,378
568,160,289,949,1180
570,128,589,966,1105
577,99,816,300,871
578,92,503,913,787
576,127,430,962,892
580,123,554,270,803
579,89,501,722,1760
512,9939,211,336,20837
562,88,656,486,6499
582,73,217,457,1266
585,76,1016,640,664
581,101,649,781,1547
587,26,510,165,785
589,118,1008,337,1369
588,96,385,424,1472
593,111,904,40,1458
598,64,631,386,667
599,94,115,940,432
595,127,331,1002,1203
596,97,784,570,1729
600,58,421,403,1033
597,67,479,487,1753
538,9717,800,858,19526
533,10245,829,191,20746
602,117,834,707,1584
601,121,223,386,1780
575,142,793,426,10269
572,84,62,480,11205
605,122,236,594,1876
606,111,282,550,1562
607,105,116,559,2262
583,103,745,219,10331
592,126,521,257,7594
584,109,396,273,9952
615,116,722,703,1344
620,112,938,605,879
619,83,955,725,909
617,98,663,974,1235
554,9737,504,767,19271
627,93,608,98,854
626,92,226,646,1189
629,126,91,660,636
603,126,368,113,7313
590,94,645,122,11322
614,109,971,213,5678
611,113,421,242,6116
612,129,959,139,6061
610,85,29,284,6394
608,52,17,304,6668
623,88,81,307,3661
637,95,71,728,984
636,57,511,930,1985
638,84,16,231,1406
639,121,1014,633,1268
642,78,797,783,1331
640,96,21,955,1391
618,105,417,67,7085
645,116,1002,670,1543
644,100,1,176,1813
646,47,158,751,938
571,10280,556,626,20953
628,43,791,896,6858
647,98,324,909,1044
621,112,711,995,9984
635,107,58,818,6260
622,82,59,177,9828
649,73,767,429,1567
634,93,464,20,7530
624,113,127,63,9577
651,88,706,60,1136
643,124,241,416,6030
652,123,762,687,2056
653,79,306,477,1903
654,61,1018,540,1353
586,10034,319,276,21422
633,114,641,330,9631
632,62,329,494,9932
659,93,363,199,1343
655,77,69,461,2175
656,108,430,394,1983
661,109,697,37,997
660,117,667,304,1178
662,60,510,333,486
657,72,127,464,1704
658,144,644,733,1571
591,10273,191,137,21654
594,10453,320,918,21230
664,110,639,278,1164
665,92,697,425,332
663,111,314,740,2242
666,64,191,485,1333
667,93,7,98,1890
669,67,636,173,790
668,113,981,227,1313
604,9982,70,56,20761
671,55,600,661,1130
670,127,294,692,1355
609,10003,906,535,20541
673,80,834,705,1350
674,91,994,1010,1149
613,9921,59,539,21057
672,121,1018,896,2500
676,86,230,947,1856
677,93,500,191,568
616,10597,888,961,21710
679,50,63,94,1330
678,88,786,796,1487
681,94,447,290,1566
625,9389,73,509,20752
675,139,177,961,3945
680,155,613,634,1737
682,102,404,914,1034
683,107,523,964,911
631,9888,521,489,20371
630,10123,380,510,20548
685,120,527,429,1238
687,116,204,160,1141
691,84,585,257,553
684,79,823,472,1342
690,96,901,563,632
689,95,975,585,778
686,68,372,909,1227
694,97,569,180,1932
698,114,762,304,779
695,138,459,527,1893
641,10027,880,769,20669
702,144,956,488,552
700,110,123,594,1174
650,10005,969,172,18155
703,122,24,262,2372
706,104,793,268,999
704,48,634,639,1831
648,10128,886,248,19671
707,83,73,219,1795
709,76,949,917,1458
710,94,965,64,1463
711,100,523,94,1297
712,120,980,206,1836
713,119,331,291,1057
708,105,928,64,2750
715,97,721,342,869
692,128,177,690,9389
714,82,936,242,1882
718,104,94,296,962
717,98,617,304,1008
716,81,262,385,1751
701,142,720,670,7731
719,77,989,650,1800
705,97,943,776,7419
699,91,338,808,9786
693,100,178,863,11452
726,99,576,87,585
722,85,508,110,1238
723,105,294,419,1040
724,88,443,876,1010
729,79,390,1021,454
725,101,576,253,1771
728,120,556,565,1602
730,111,193,760,1149
731,110,896,58,1788
732,92,969,615,1361
735,53,708,25,1661
737,96,209,310,1152
736,95,371,971,1163
738,145,836,557,1450
740,73,315,152,874
739,100,81,578,1466
741,132,494,319,1781
742,103,270,487,1213
744,160,942,821,1481
746,80,426,161,850
745,71,374,375,1110
743,94,660,774,1593
